"url","Searchresult link","Searchresult link_link","Snp value","Snp value_link","Yoe value","Yoe value_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Skills values","Apply label","Apply value"
"https://www.shine.com/job-search/it-software-industry-jobs-6","SAP HCM ConsultantTata Consultancy Services Ltd.3 to 8 YrsDelhi Overall expereince in End to End Businees Processes of Talent Management , Workforce Management ,Payroll. Hands on implementation and support experience in HCM Payroll for various countries ( For US.","https://www.shine.com/jobs/sap-hcm-consultant/tata-consultancy-services-ltd/6516573/","SAP HCM Consultant","https://www.shine.com/jobs/sap-hcm-consultant/tata-consultancy-services-ltd/6516573/","3 to 8 Yrs","https://www.shine.com/jobs/sap-hcm-consultant/tata-consultancy-services-ltd/6516573/","Delhi","https://www.shine.com/jobs/sap-hcm-consultant/tata-consultancy-services-ltd/6516573/","Overall expereince in End to End Businees Processes of Talent Management , Workforce Management ,Payroll. Hands on implementation and support experience in HCM Payroll for various countries ( For US.","https://www.shine.com/jobs/sap-hcm-consultant/tata-consultancy-services-ltd/6516573/","Skills :","HCM Consultant,; SAP HCM","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP MMTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Min 2 E2E implementationand Support in SAP MM predominantly worked on all the 3 sub-modules Procurement, Inventory Management & Logistics Invoice Verification. Experience in at least one project on Support.","https://www.shine.com/jobs/tcs-is-hiring-sap-mm/tata-consultancy-services-ltd/6516577/","TCS is hiring SAP MM","https://www.shine.com/jobs/tcs-is-hiring-sap-mm/tata-consultancy-services-ltd/6516577/","3 to 8 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-mm/tata-consultancy-services-ltd/6516577/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-sap-mm/tata-consultancy-services-ltd/6516577/","Min 2 E2E implementationand Support in SAP MM predominantly worked on all the 3 sub-modules Procurement, Inventory Management & Logistics Invoice Verification. Experience in at least one project on Support.","https://www.shine.com/jobs/tcs-is-hiring-sap-mm/tata-consultancy-services-ltd/6516577/","Skills :","SAP MM","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","SAP CO consultantTata Consultancy Services Ltd.3 to 6 YrsDelhi SAP CO working knowledge desirable. Experience on AR, AP, GL, AA, CCA, PCA, IO and CO-PA, Should have knowledge of integration and interfaces to deal with legacy system. Should have.","https://www.shine.com/jobs/sap-co-consultant/tata-consultancy-services-ltd/6516581/","SAP CO consultant","https://www.shine.com/jobs/sap-co-consultant/tata-consultancy-services-ltd/6516581/","3 to 6 Yrs","https://www.shine.com/jobs/sap-co-consultant/tata-consultancy-services-ltd/6516581/","Delhi","https://www.shine.com/jobs/sap-co-consultant/tata-consultancy-services-ltd/6516581/","SAP CO working knowledge desirable. Experience on AR, AP, GL, AA, CCA, PCA, IO and CO-PA, Should have knowledge of integration and interfaces to deal with legacy system. Should have.","https://www.shine.com/jobs/sap-co-consultant/tata-consultancy-services-ltd/6516581/","Skills :","CO consultant,; SAP CO","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP APOTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Hands on experience on SAP SCM PPDS and Demand Planning implementation. Good to have BW knowledge. Experience in handling MTO scenarios in ECC. Hands on experience on SAP SCM Supply.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-apo/tata-consultancy-services-ltd/6516583/","TCS is hiring for SAP APO","https://www.shine.com/jobs/tcs-is-hiring-for-sap-apo/tata-consultancy-services-ltd/6516583/","3 to 8 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-apo/tata-consultancy-services-ltd/6516583/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-for-sap-apo/tata-consultancy-services-ltd/6516583/","Hands on experience on SAP SCM PPDS and Demand Planning implementation. Good to have BW knowledge. Experience in handling MTO scenarios in ECC. Hands on experience on SAP SCM Supply.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-apo/tata-consultancy-services-ltd/6516583/","Skills :","SAP APO","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","SAP PM ConsultantTata Consultancy Services Ltd.3 to 8 YrsDelhi Knowledge on all Maintenance Types like Preventive, Corrective etc , Sound Knowledge of PM Configuration settings,Knowledge on Integration with MM, FI, CO, QM, PS Knowledge on integration with workflow ..","https://www.shine.com/jobs/sap-pm-consultant/tata-consultancy-services-ltd/6516593/","SAP PM Consultant","https://www.shine.com/jobs/sap-pm-consultant/tata-consultancy-services-ltd/6516593/","3 to 8 Yrs","https://www.shine.com/jobs/sap-pm-consultant/tata-consultancy-services-ltd/6516593/","Delhi","https://www.shine.com/jobs/sap-pm-consultant/tata-consultancy-services-ltd/6516593/","Knowledge on all Maintenance Types like Preventive, Corrective etc , Sound Knowledge of PM Configuration settings,Knowledge on Integration with MM, FI, CO, QM, PS Knowledge on integration with workflow ..","https://www.shine.com/jobs/sap-pm-consultant/tata-consultancy-services-ltd/6516593/","Skills :","PM Consultant,; SAP PM","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP MDM MDGTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Support and enhancement Project experience with Global Landscape. Hands on in MDM Java API Development, MDM/GDS Console specific GUI development using Web-Dynpro + MDMJ, Designing Communication Maps, Designing/Configuring Communication Bridges.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mdm-mdg/tata-consultancy-services-ltd/6516605/","TCS is hiring for SAP MDM MDG","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mdm-mdg/tata-consultancy-services-ltd/6516605/","3 to 8 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mdm-mdg/tata-consultancy-services-ltd/6516605/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mdm-mdg/tata-consultancy-services-ltd/6516605/","Support and enhancement Project experience with Global Landscape. Hands on in MDM Java API Development, MDM/GDS Console specific GUI development using Web-Dynpro + MDMJ, Designing Communication Maps, Designing/Configuring Communication Bridges.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mdm-mdg/tata-consultancy-services-ltd/6516605/","Skills :","SAP MDM MDG","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP HCMTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Overall expereince in End to End Businees Processes of Talent Management , Workforce Management ,Payroll. Hands on implementation and support experience in HCM Payroll for various countries ( For US.","https://www.shine.com/jobs/tcs-is-hiring-sap-hcm/tata-consultancy-services-ltd/6516643/","TCS is hiring SAP HCM","https://www.shine.com/jobs/tcs-is-hiring-sap-hcm/tata-consultancy-services-ltd/6516643/","3 to 8 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-hcm/tata-consultancy-services-ltd/6516643/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-sap-hcm/tata-consultancy-services-ltd/6516643/","Overall expereince in End to End Businees Processes of Talent Management , Workforce Management ,Payroll. Hands on implementation and support experience in HCM Payroll for various countries ( For US.","https://www.shine.com/jobs/tcs-is-hiring-sap-hcm/tata-consultancy-services-ltd/6516643/","Skills :","SAP HCM","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP GRCTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Candidates should have Experience in SAP Security and Authorization area having experience in GRC. Exposure to following areas are required : Super User Privilage Management (FireFighter).Enterprise Role Management (Role Expert).Compliant.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-grc/tata-consultancy-services-ltd/6516651/","TCS is hiring for SAP GRC","https://www.shine.com/jobs/tcs-is-hiring-for-sap-grc/tata-consultancy-services-ltd/6516651/","3 to 8 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-grc/tata-consultancy-services-ltd/6516651/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-for-sap-grc/tata-consultancy-services-ltd/6516651/","Candidates should have Experience in SAP Security and Authorization area having experience in GRC. Exposure to following areas are required : Super User Privilage Management (FireFighter).Enterprise Role Management (Role Expert).Compliant.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-grc/tata-consultancy-services-ltd/6516651/","Skills :","SAP GRC","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP Basis SecurityTata Consultancy Services Ltd.3 to 6 YrsGandhinagar, Ahmedabad Good hands-on experience monitoring & managing SAP system on various SAP product family (i.e. ERP, CRM, CRM, EP, PI, Open text, SolMgr,etc.) on day to day basis. Experience supporting SAP.","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-security/tata-consultancy-services-ltd/6516663/","TCS is hiring SAP Basis Security","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-security/tata-consultancy-services-ltd/6516663/","3 to 6 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-security/tata-consultancy-services-ltd/6516663/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-security/tata-consultancy-services-ltd/6516663/","Good hands-on experience monitoring & managing SAP system on various SAP product family (i.e. ERP, CRM, CRM, EP, PI, Open text, SolMgr,etc.) on day to day basis. Experience supporting SAP.","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-security/tata-consultancy-services-ltd/6516663/","Skills :","SAP Basis Security","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP FIORITata Consultancy Services Ltd.3 to 6 YrsGandhinagar, Ahmedabad Should have knowledge on SAP UI5, SAP FIORI, Java script, CSS 3.0, HTML 5, Jquerry and SML. Knowledge on ABAP OOO, O data, Netweaver Gateway.","https://www.shine.com/jobs/tcs-is-hiring-sap-fiori/tata-consultancy-services-ltd/6516673/","TCS is hiring SAP FIORI","https://www.shine.com/jobs/tcs-is-hiring-sap-fiori/tata-consultancy-services-ltd/6516673/","3 to 6 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-fiori/tata-consultancy-services-ltd/6516673/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-sap-fiori/tata-consultancy-services-ltd/6516673/","Should have knowledge on SAP UI5, SAP FIORI, Java script, CSS 3.0, HTML 5, Jquerry and SML. Knowledge on ABAP OOO, O data, Netweaver Gateway.","https://www.shine.com/jobs/tcs-is-hiring-sap-fiori/tata-consultancy-services-ltd/6516673/","Skills :","SAP FIORI","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP BITata Consultancy Services Ltd.3 to 6 YrsGandhinagar, Ahmedabad Must possess good experience in SAP BW support (BW 7.x preferred). Data Modeling, Bex Query, Data load and Failure rectification. Expertise in SAP BW-ABAP preferred Experience in SAP BW 7.0,.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi/tata-consultancy-services-ltd/6516701/","TCS is hiring for SAP BI","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi/tata-consultancy-services-ltd/6516701/","3 to 6 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi/tata-consultancy-services-ltd/6516701/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi/tata-consultancy-services-ltd/6516701/","Must possess good experience in SAP BW support (BW 7.x preferred). Data Modeling, Bex Query, Data load and Failure rectification. Expertise in SAP BW-ABAP preferred Experience in SAP BW 7.0,.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi/tata-consultancy-services-ltd/6516701/","Skills :","Business Intelligence,; SAP BI","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP MMTata Consultancy Services Ltd.3 to 8 YrsGandhinagar, Ahmedabad Min 2 E2E implementationand Support in SAP MM predominantly worked on all the 3 sub-modules Procurement, Inventory Management & Logistics Invoice Verification. Experience in at least one project on Support.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mm/tata-consultancy-services-ltd/6516709/","TCS is hiring for SAP MM","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mm/tata-consultancy-services-ltd/6516709/","3 to 8 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mm/tata-consultancy-services-ltd/6516709/","Gandhinagar, Ahmedabad","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mm/tata-consultancy-services-ltd/6516709/","Min 2 E2E implementationand Support in SAP MM predominantly worked on all the 3 sub-modules Procurement, Inventory Management & Logistics Invoice Verification. Experience in at least one project on Support.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-mm/tata-consultancy-services-ltd/6516709/","Skills :","SAP MM","Apply","Posted Date 13-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP SRMTata Consultancy Services Ltd.4 to 7 YrsBangalore 1. 2+ years of SAP SRM experience. 2. 3+ years of good relevant domain experience 3. Minimum 1 E2E implementation in SAP 4. SAP MM Including Purchasing, Invoicing 5. SAP.","https://www.shine.com/jobs/tcs-is-hiring-sap-srm/tata-consultancy-services-ltd/6507703/","TCS is hiring SAP SRM","https://www.shine.com/jobs/tcs-is-hiring-sap-srm/tata-consultancy-services-ltd/6507703/","4 to 7 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-srm/tata-consultancy-services-ltd/6507703/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-sap-srm/tata-consultancy-services-ltd/6507703/","1. 2+ years of SAP SRM experience. 2. 3+ years of good relevant domain experience 3. Minimum 1 E2E implementation in SAP 4. SAP MM Including Purchasing, Invoicing 5. SAP.","https://www.shine.com/jobs/tcs-is-hiring-sap-srm/tata-consultancy-services-ltd/6507703/","Skills :","SAP SRM","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP Security on 17th Dec 2016Tata Consultancy Services Ltd.4 to 7 YrsBangalore Candidates should have Experience in SAP Security and Authorization area having experience in GRC. .Exposure to following areas are required : Super User Privilage Management (FireFighter).Enterprise Role Management (Role Expert).Compliant.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-security-on-17th-dec-2016/tata-consultancy-services-ltd/6507643/","TCS is hiring for SAP Security on 17th Dec 2016","https://www.shine.com/jobs/tcs-is-hiring-for-sap-security-on-17th-dec-2016/tata-consultancy-services-ltd/6507643/","4 to 7 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-security-on-17th-dec-2016/tata-consultancy-services-ltd/6507643/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-for-sap-security-on-17th-dec-2016/tata-consultancy-services-ltd/6507643/","Candidates should have Experience in SAP Security and Authorization area having experience in GRC. .Exposure to following areas are required : Super User Privilage Management (FireFighter).Enterprise Role Management (Role Expert).Compliant.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-security-on-17th-dec-2016/tata-consultancy-services-ltd/6507643/","Skills :","SAP Security","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP BI Hana on 17th-Dec-2016Tata Consultancy Services Ltd.4 to 7 YrsBangalore Skills Required: SAP BI : Business Intelligence Hana Job Description: Designation / Position : SAP BI Consultant Job Location(s) : Gandhinagar (Ahmedabad) Work Experience : 4-6 Years Job Description: Must.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507639/","TCS is hiring for SAP BI Hana on 17th-Dec-2016","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507639/","4 to 7 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507639/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507639/","Skills Required: SAP BI : Business Intelligence Hana Job Description: Designation / Position : SAP BI Consultant Job Location(s) : Gandhinagar (Ahmedabad) Work Experience : 4-6 Years Job Description: Must.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-bi-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507639/","Skills :","Hana,; SAP BI,; SAP Business Intelligence","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP BASIS on 17-12-2016Tata Consultancy Services Ltd.2 to 4 YrsBangalore Skills Required: SAP BASIS : Database Management SAP BASIS : Security & Authorizations Job Description: Good hands-on experience monitoring & managing SAP system on various SAP product family (i.e. ERP,.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-basis-on-17-12-2016/tata-consultancy-services-ltd/6507631/","TCS is hiring for SAP BASIS on 17-12-2016","https://www.shine.com/jobs/tcs-is-hiring-for-sap-basis-on-17-12-2016/tata-consultancy-services-ltd/6507631/","2 to 4 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-basis-on-17-12-2016/tata-consultancy-services-ltd/6507631/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-for-sap-basis-on-17-12-2016/tata-consultancy-services-ltd/6507631/","Skills Required: SAP BASIS : Database Management SAP BASIS : Security & Authorizations Job Description: Good hands-on experience monitoring & managing SAP system on various SAP product family (i.e. ERP,.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-basis-on-17-12-2016/tata-consultancy-services-ltd/6507631/","Skills :","SAP BASIS","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring for SAP ABAP with Hana on 17th Dec 2016Tata Consultancy Services Ltd.4 to 7 YrsBangalore Skills Required: SAP ABAP : Technical Job Description: 1. SAP ABAP programming tools including Report and Transaction creation, Enhancements, Conversion Programs, SAPscript, and SmartForms, Screen Painter BDC, LSMW, User Exits,.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-abap-with-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507641/","TCS is hiring for SAP ABAP with Hana on 17th Dec 2016","https://www.shine.com/jobs/tcs-is-hiring-for-sap-abap-with-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507641/","4 to 7 Yrs","https://www.shine.com/jobs/tcs-is-hiring-for-sap-abap-with-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507641/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-for-sap-abap-with-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507641/","Skills Required: SAP ABAP : Technical Job Description: 1. SAP ABAP programming tools including Report and Transaction creation, Enhancements, Conversion Programs, SAPscript, and SmartForms, Screen Painter BDC, LSMW, User Exits,.","https://www.shine.com/jobs/tcs-is-hiring-for-sap-abap-with-hana-on-17th-dec-2016/tata-consultancy-services-ltd/6507641/","Skills :","Hana,; SAP ABAP","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP BASIS on 17th- Dec-2016Tata Consultancy Services Ltd.4 to 7 YrsBangalore Skills Required: SAP BASIS : Database Management SAP BASIS : Security & Authorizations Job Description: Good hands-on experience monitoring & managing SAP system on various SAP product family (i.e. ERP,.","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-on-17th-dec-2016/tata-consultancy-services-ltd/6507633/","TCS is hiring SAP BASIS on 17th- Dec-2016","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-on-17th-dec-2016/tata-consultancy-services-ltd/6507633/","4 to 7 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-on-17th-dec-2016/tata-consultancy-services-ltd/6507633/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-on-17th-dec-2016/tata-consultancy-services-ltd/6507633/","Skills Required: SAP BASIS : Database Management SAP BASIS : Security & Authorizations Job Description: Good hands-on experience monitoring & managing SAP system on various SAP product family (i.e. ERP,.","https://www.shine.com/jobs/tcs-is-hiring-sap-basis-on-17th-dec-2016/tata-consultancy-services-ltd/6507633/","Skills :","SAP BASIS","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP VistexTata Consultancy Services Ltd.4 to 7 YrsBangalore Responsibilities: Primary role is to provide support in Vistex IP module and Enhancements (new contract setup, Bill back claim processing, composite rebate processing), and Vistex DMP Government Pricing(GP) solution (Price.","https://www.shine.com/jobs/tcs-is-hiring-sap-vistex/tata-consultancy-services-ltd/6512431/","TCS is hiring SAP Vistex","https://www.shine.com/jobs/tcs-is-hiring-sap-vistex/tata-consultancy-services-ltd/6512431/","4 to 7 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-vistex/tata-consultancy-services-ltd/6512431/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-sap-vistex/tata-consultancy-services-ltd/6512431/","Responsibilities: Primary role is to provide support in Vistex IP module and Enhancements (new contract setup, Bill back claim processing, composite rebate processing), and Vistex DMP Government Pricing(GP) solution (Price.","https://www.shine.com/jobs/tcs-is-hiring-sap-vistex/tata-consultancy-services-ltd/6512431/","Skills :","SAP Vistex","Apply","Posted Date 12-Dec-2016"
"https://www.shine.com/job-search/it-software-industry-jobs-6","TCS is hiring SAP SolManTata Consultancy Services Ltd.2 to 10 YrsBangalore Job Description- Solution Manager Minimum 2 yrs of experience with SAP SolMan with end to end implementation experience. Should be able to design, build, test and optimize SAP SolMan.","https://www.shine.com/jobs/tcs-is-hiring-sap-solman/tata-consultancy-services-ltd/6512445/","TCS is hiring SAP SolMan","https://www.shine.com/jobs/tcs-is-hiring-sap-solman/tata-consultancy-services-ltd/6512445/","2 to 10 Yrs","https://www.shine.com/jobs/tcs-is-hiring-sap-solman/tata-consultancy-services-ltd/6512445/","Bangalore","https://www.shine.com/jobs/tcs-is-hiring-sap-solman/tata-consultancy-services-ltd/6512445/","Job Description- Solution Manager Minimum 2 yrs of experience with SAP SolMan with end to end implementation experience. Should be able to design, build, test and optimize SAP SolMan.","https://www.shine.com/jobs/tcs-is-hiring-sap-solman/tata-consultancy-services-ltd/6512445/","Skills :","SAP SolMan,; SAP Solution manager,; SolMan","Apply","Posted Date 12-Dec-2016"
