"url","Searchresult link","Searchresult link_link","Snp value","Snp value_link","Cmpname value","Cmpname value_link","Yoe value","Yoe value_link","Loc value","Loc value_link","Srcresult description","Srcresult description_link","Skills label","Skills descriptions","Apply label","Apply value"
"https://www.shine.com/job-search/it-software-industry-jobs-3","NICE EngineerTata Consultancy Services Ltd.3 to 7 YrsChennai Dear Candidate, We have a job opening for NICE Engineer position for TCS, Chennai. Role: NICE Engineer Experience: 3 to 7 Years Location: Chennai Job Description: Installing and maintaining the.","https://www.shine.com/jobs/nice-engineer/tata-consultancy-services-ltd/6649203/","NICE Engineer","https://www.shine.com/jobs/nice-engineer/tata-consultancy-services-ltd/6649203/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/nice-engineer/tata-consultancy-services-ltd/6649203/","3 to 7 Yrs","https://www.shine.com/jobs/nice-engineer/tata-consultancy-services-ltd/6649203/","Chennai","https://www.shine.com/jobs/nice-engineer/tata-consultancy-services-ltd/6649203/","Dear Candidate, We have a job opening for NICE Engineer position for TCS, Chennai. Role: NICE Engineer Experience: 3 to 7 Years Location: Chennai Job Description: Installing and maintaining the.","https://www.shine.com/jobs/nice-engineer/tata-consultancy-services-ltd/6649203/","Skills :","Datamart,; MAPPING,; NICE,; NIM,; Reports","Apply","Posted Date 13-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Data integration & McAfee EPO AnalystTata Consultancy Services Ltd.4 to 9 YrsChennai Dear Candidate, We have a job opening for Data integration & McAfee EPO Analyst for TCS, Chennai. Role: Data integration & McAfee EPO Analyst Years: 4 to 12 Years Location:.","https://www.shine.com/jobs/data-integration-mcafee-epo-analyst/tata-consultancy-services-ltd/6642657/","Data integration & McAfee EPO Analyst","https://www.shine.com/jobs/data-integration-mcafee-epo-analyst/tata-consultancy-services-ltd/6642657/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/data-integration-mcafee-epo-analyst/tata-consultancy-services-ltd/6642657/","4 to 9 Yrs","https://www.shine.com/jobs/data-integration-mcafee-epo-analyst/tata-consultancy-services-ltd/6642657/","Chennai","https://www.shine.com/jobs/data-integration-mcafee-epo-analyst/tata-consultancy-services-ltd/6642657/","Dear Candidate, We have a job opening for Data integration & McAfee EPO Analyst for TCS, Chennai. Role: Data integration & McAfee EPO Analyst Years: 4 to 12 Years Location:.","https://www.shine.com/jobs/data-integration-mcafee-epo-analyst/tata-consultancy-services-ltd/6642657/","Skills :","Data Integration,; DLP,; HIPS,; McAfee,; Patch Management","Apply","Posted Date 13-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Capacity Management AnalystTata Consultancy Services Ltd.3 to 5 YrsChennai Dear Candidate, We have a job opening for Capacity Management Analyst position for TCS, Chennai. Role: Capacity Management Analyst Experience: 3 to 5 Years Location: Chennai JD Details:- Produces Capacity.","https://www.shine.com/jobs/capacity-management-analyst/tata-consultancy-services-ltd/6642935/","Capacity Management Analyst","https://www.shine.com/jobs/capacity-management-analyst/tata-consultancy-services-ltd/6642935/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/capacity-management-analyst/tata-consultancy-services-ltd/6642935/","3 to 5 Yrs","https://www.shine.com/jobs/capacity-management-analyst/tata-consultancy-services-ltd/6642935/","Chennai","https://www.shine.com/jobs/capacity-management-analyst/tata-consultancy-services-ltd/6642935/","Dear Candidate, We have a job opening for Capacity Management Analyst position for TCS, Chennai. Role: Capacity Management Analyst Experience: 3 to 5 Years Location: Chennai JD Details:- Produces Capacity.","https://www.shine.com/jobs/capacity-management-analyst/tata-consultancy-services-ltd/6642935/","Skills :","Capacity Management,; Capacity Planning,; Performance Testing,; Reliability,; Reports","Apply","Posted Date 13-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","TWS Administrator MainframeTata Consultancy Services Ltd.4 to 8 YrsChennai Dear Candidate, We have a job opening for TWS Administrator Mainframe position for TCS, Chennai. Role: TWS Administrator Mainframe Experience: 4 to 8 Years Location: Chennai Summary of key responsibilities:.","https://www.shine.com/jobs/tws-administrator-mainframe/tata-consultancy-services-ltd/6647925/","TWS Administrator Mainframe","https://www.shine.com/jobs/tws-administrator-mainframe/tata-consultancy-services-ltd/6647925/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/tws-administrator-mainframe/tata-consultancy-services-ltd/6647925/","4 to 8 Yrs","https://www.shine.com/jobs/tws-administrator-mainframe/tata-consultancy-services-ltd/6647925/","Chennai","https://www.shine.com/jobs/tws-administrator-mainframe/tata-consultancy-services-ltd/6647925/","Dear Candidate, We have a job opening for TWS Administrator Mainframe position for TCS, Chennai. Role: TWS Administrator Mainframe Experience: 4 to 8 Years Location: Chennai Summary of key responsibilities:.","https://www.shine.com/jobs/tws-administrator-mainframe/tata-consultancy-services-ltd/6647925/","Skills :","AD,; FTP,; Installation,; Integrity,; Maintenance","Apply","Posted Date 12-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Oracle Exadata DBATata Consultancy Services Ltd.7 to 12 YrsChennai Dear Candidate, We have a job opening for Oracle Exadata DBA position for TCS, Chennai. Role: Oracle Exadata DBA Experience: 7 to 12 Years Location: Chennai Job Description: Good understanding.","https://www.shine.com/jobs/oracle-exadata-dba/tata-consultancy-services-ltd/6647331/","Oracle Exadata DBA","https://www.shine.com/jobs/oracle-exadata-dba/tata-consultancy-services-ltd/6647331/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/oracle-exadata-dba/tata-consultancy-services-ltd/6647331/","7 to 12 Yrs","https://www.shine.com/jobs/oracle-exadata-dba/tata-consultancy-services-ltd/6647331/","Chennai","https://www.shine.com/jobs/oracle-exadata-dba/tata-consultancy-services-ltd/6647331/","Dear Candidate, We have a job opening for Oracle Exadata DBA position for TCS, Chennai. Role: Oracle Exadata DBA Experience: 7 to 12 Years Location: Chennai Job Description: Good understanding.","https://www.shine.com/jobs/oracle-exadata-dba/tata-consultancy-services-ltd/6647331/","Skills :","Databases,; EXADATA,; Framework,; ITIL V3,; OEM","Apply","Posted Date 12-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Palo Alto Firewall EngineerTata Consultancy Services Ltd.4 to 9 YrsChennai Dear Candidate, We have a job opening for Palo Alto Firewall Engineer position for TCS, Chennai. Role: Palo Alto Firewall Engineer Experience: 4 to 10 Years Location: Chennai Job Description:.","https://www.shine.com/jobs/palo-alto-firewall-engineer/tata-consultancy-services-ltd/6647413/","Palo Alto Firewall Engineer","https://www.shine.com/jobs/palo-alto-firewall-engineer/tata-consultancy-services-ltd/6647413/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/palo-alto-firewall-engineer/tata-consultancy-services-ltd/6647413/","4 to 9 Yrs","https://www.shine.com/jobs/palo-alto-firewall-engineer/tata-consultancy-services-ltd/6647413/","Chennai","https://www.shine.com/jobs/palo-alto-firewall-engineer/tata-consultancy-services-ltd/6647413/","Dear Candidate, We have a job opening for Palo Alto Firewall Engineer position for TCS, Chennai. Role: Palo Alto Firewall Engineer Experience: 4 to 10 Years Location: Chennai Job Description:.","https://www.shine.com/jobs/palo-alto-firewall-engineer/tata-consultancy-services-ltd/6647413/","Skills :","CCNA,; CCNP,; CISCO,; Fortigate,; Fortinet","Apply","Posted Date 12-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Linux System AdministratorTata Consultancy Services Ltd.5 to 10 YrsChennai Dear Candidate, We have a job opening for Linux System Administrator position for TCS, Chennai. Role: Linux System Administrator Experience: 5 to 10 Years Location: Chennai Skills: 1. Strong knowledge.","https://www.shine.com/jobs/linux-system-administrator/tata-consultancy-services-ltd/6647549/","Linux System Administrator","https://www.shine.com/jobs/linux-system-administrator/tata-consultancy-services-ltd/6647549/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/linux-system-administrator/tata-consultancy-services-ltd/6647549/","5 to 10 Yrs","https://www.shine.com/jobs/linux-system-administrator/tata-consultancy-services-ltd/6647549/","Chennai","https://www.shine.com/jobs/linux-system-administrator/tata-consultancy-services-ltd/6647549/","Dear Candidate, We have a job opening for Linux System Administrator position for TCS, Chennai. Role: Linux System Administrator Experience: 5 to 10 Years Location: Chennai Skills: 1. Strong knowledge.","https://www.shine.com/jobs/linux-system-administrator/tata-consultancy-services-ltd/6647549/","Skills :","ACL,; Linux Administration,; RCA,; Redhat Linux,; Troubleshooting","Apply","Posted Date 12-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Informix DBATata Consultancy Services Ltd.4 to 6 YrsChennai Dear Candidate, We have a job opening for Informix DBA position for TCS, Chennai. Role: Informix DBA Experience: 4 to 6 Years Location: Chennai Job Description: 1. Minimum 4-6 years.","https://www.shine.com/jobs/informix-dba/tata-consultancy-services-ltd/6647587/","Informix DBA","https://www.shine.com/jobs/informix-dba/tata-consultancy-services-ltd/6647587/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/informix-dba/tata-consultancy-services-ltd/6647587/","4 to 6 Yrs","https://www.shine.com/jobs/informix-dba/tata-consultancy-services-ltd/6647587/","Chennai","https://www.shine.com/jobs/informix-dba/tata-consultancy-services-ltd/6647587/","Dear Candidate, We have a job opening for Informix DBA position for TCS, Chennai. Role: Informix DBA Experience: 4 to 6 Years Location: Chennai Job Description: 1. Minimum 4-6 years.","https://www.shine.com/jobs/informix-dba/tata-consultancy-services-ltd/6647587/","Skills :","Acquisition,; DBA,; Documentation,; Informix,; Maintenance","Apply","Posted Date 12-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Cisco UCCE AdministratorTata Consultancy Services Ltd.4 to 9 YrsChennai Dear Candidate, We have a job opening for Cisco UCCE Administrator position for TCS, Chennai. Role: Cisco UCCE Administrator Experience: 4 to 9 Years Location: Chennai Job Responsibilities: -> Implementation.","https://www.shine.com/jobs/cisco-ucce-administrator/tata-consultancy-services-ltd/6647703/","Cisco UCCE Administrator","https://www.shine.com/jobs/cisco-ucce-administrator/tata-consultancy-services-ltd/6647703/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/cisco-ucce-administrator/tata-consultancy-services-ltd/6647703/","4 to 9 Yrs","https://www.shine.com/jobs/cisco-ucce-administrator/tata-consultancy-services-ltd/6647703/","Chennai","https://www.shine.com/jobs/cisco-ucce-administrator/tata-consultancy-services-ltd/6647703/","Dear Candidate, We have a job opening for Cisco UCCE Administrator position for TCS, Chennai. Role: Cisco UCCE Administrator Experience: 4 to 9 Years Location: Chennai Job Responsibilities: -> Implementation.","https://www.shine.com/jobs/cisco-ucce-administrator/tata-consultancy-services-ltd/6647703/","Skills :","Capacity Planning,; CISCO,; CTI,; Dialers,; Reporting","Apply","Posted Date 12-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Exchange ArchitectTata Consultancy Services Ltd.8 to 13 YrsChennai Dear Candidate, We have a job opening for Exchange Architect position for TCS, chennai. Role: Exchange Architect Experience: 8 to 13 Years Location: Chennai Role and Responsibilities: Proven expertise in.","https://www.shine.com/jobs/exchange-architect/tata-consultancy-services-ltd/6642711/","Exchange Architect","https://www.shine.com/jobs/exchange-architect/tata-consultancy-services-ltd/6642711/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/exchange-architect/tata-consultancy-services-ltd/6642711/","8 to 13 Yrs","https://www.shine.com/jobs/exchange-architect/tata-consultancy-services-ltd/6642711/","Chennai","https://www.shine.com/jobs/exchange-architect/tata-consultancy-services-ltd/6642711/","Dear Candidate, We have a job opening for Exchange Architect position for TCS, chennai. Role: Exchange Architect Experience: 8 to 13 Years Location: Chennai Role and Responsibilities: Proven expertise in.","https://www.shine.com/jobs/exchange-architect/tata-consultancy-services-ltd/6642711/","Skills :","AD,; Application Services,; DHCP,; Exchange 2010,; Load Balancing","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","Unix Developer","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","3 to 7 Yrs","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Bangalore, Gurgaon","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Application Developer AIX/UNIX - Advanced Unix Application Developer AIX/UNIX - Perl Scripting, Unix Shell Scripting Application Developer AIX/UNIX - Unix/Linux, Oracle PL/SQL Application Developer AIX/UNIX - Java, Unix/AIX.","https://www.shine.com/jobs/unix-developer/collabera-technologies-private-limited/6641901/","Skills :","Oracle PL/SQL,; Perl Scripting,; Unix Developer,; Unix Shell Scripting,; Unix/Linux","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Mobile AnalystTata Consultancy Services Ltd.8 to 13 YrsChennai Dear Candidate, We have a job opening for Mobile Analyst position for TCS, Chennai. Role: Mobile Analyst Experience: 8 to 13 Years Location: Chennai Role and Responsibilities Technical lead for.","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Mobile Analyst","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","8 to 13 Yrs","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Chennai","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Dear Candidate, We have a job opening for Mobile Analyst position for TCS, Chennai. Role: Mobile Analyst Experience: 8 to 13 Years Location: Chennai Role and Responsibilities Technical lead for.","https://www.shine.com/jobs/mobile-analyst/tata-consultancy-services-ltd/6642563/","Skills :","Blackberry,; IPAD,; mobile analyst,; Security,; Wireless","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","DB2 Database AdminTata Consultancy Services Ltd.3 to 5 YrsChennai Dear Candidate, We have a job opening for DB2 DBA position for TCS, Chennai. Role: DB2 DBA Experience: 3 to 5 Years Location: Chennai JD Details:- Hands on experience in.","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","DB2 Database Admin","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","3 to 5 Yrs","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Chennai","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Dear Candidate, We have a job opening for DB2 DBA position for TCS, Chennai. Role: DB2 DBA Experience: 3 to 5 Years Location: Chennai JD Details:- Hands on experience in.","https://www.shine.com/jobs/db2-database-admin/tata-consultancy-services-ltd/6642983/","Skills :","Administration,; Database Administration,; Databases,; DB2,; L2","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Lotus Domino AdministratorTata Consultancy Services Ltd.3 to 5 YrsChennai Dear Candidate, We have a job opening for Lotus Domino Administrator position for TCS, Chennai. Role: Lotus Domino Administrator Experience: 3 to 5 Years Location: Chennai JD Details:- Strong understanding.","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Lotus Domino Administrator","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","3 to 5 Yrs","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Chennai","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Dear Candidate, We have a job opening for Lotus Domino Administrator position for TCS, Chennai. Role: Lotus Domino Administrator Experience: 3 to 5 Years Location: Chennai JD Details:- Strong understanding.","https://www.shine.com/jobs/lotus-domino-administrator/tata-consultancy-services-ltd/6643005/","Skills :","Application Server,; Communication,; DOMINO,; Lotus Domino,; MAIL","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","MDM Airwatch ConsultantTata Consultancy Services Ltd.6 to 8 YrsChennai Dear Candidate, We have a job opening for MDM Airwatch consultant position for TCS, Chennai. Skill :- MDM Airwatch Experience: 6 to 8 Years Location: Chennai JD Details:- Associate have.","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","MDM Airwatch Consultant","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","6 to 8 Yrs","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Chennai","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Dear Candidate, We have a job opening for MDM Airwatch consultant position for TCS, Chennai. Skill :- MDM Airwatch Experience: 6 to 8 Years Location: Chennai JD Details:- Associate have.","https://www.shine.com/jobs/mdm-airwatch-consultant/tata-consultancy-services-ltd/6643025/","Skills :","Airwatch,; DOMINO,; LOTUS,; Lotus Domino,; MDM","Apply","Posted Date 11-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Greenplum DBATata Consultancy Services Ltd.5 to 8 YrsChennai Dear Candidate, We have a job opening for the below mentioned job description. Skill : Greenplum DBA Exp Range : 5 to 8 years Job Location : Chennai Role :.","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Greenplum DBA","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","5 to 8 Yrs","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Chennai","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Dear Candidate, We have a job opening for the below mentioned job description. Skill : Greenplum DBA Exp Range : 5 to 8 years Job Location : Chennai Role :.","https://www.shine.com/jobs/greenplum-dba/tata-consultancy-services-ltd/6631975/","Skills :","Administration,; DBA,; green plum,; greenplum,; Performance Tuning","Apply","Posted Date 10-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","Microsoft Dynamics Technical Consultant AX","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","5 to 7 Yrs","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Gurgaon, Delhi","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Experience 6+ Type ccc Customization and development of Tables, Forms, Reports and other AX objects. Use required skills in projects like X++, MorphX, Business connector, Enterprise portal Understanding the.","https://www.shine.com/jobs/microsoft-dynamics-technical-consultant-ax/collabera-technologies-private-limited/6626489/","Skills :","Dynamics AX Technical Consultant,; Microsoft Dynamics Technical Consultant AX,; MorphX,; MS Dynamics,; X++","Apply","Posted Date 09-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","AEM Developer","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","3 to 7 Yrs","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Bangalore","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Experience on AEM/Java and JEE and experience on AEM Exposure to one or more end to end implementation on AEM Understanding of various Adobe cloud services which can be integrated.","https://www.shine.com/jobs/aem-developer/collabera-technologies-private-limited/6597473/","Skills :","AEM/adobe CQ","Apply","Posted Date 04-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","","","Java Developer","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Collabera Technologies Private Limited,","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","5 to 8 Yrs","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Bangalore","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Candidate must have working experience on JAVA Springs Implementing REST based API using Springs. Knowledge on Spring Core and Spring MIVC, JAVA, Java Design Patterns. Working experice on Spring.","https://www.shine.com/jobs/java-developer/collabera-technologies-private-limited/6597483/","Skills :","Hibernate,; J2ee,; Java,; Json,; SOA","Apply","Posted Date 04-Jan-2017"
"https://www.shine.com/job-search/it-software-industry-jobs-3","Java DeveloperTata Consultancy Services Ltd.4 to 6 YrsBangalore Role:: Java Developer Location:: Bangalore Experience in Java Development with relevant of 4 Yrs. Experience in J2EE (Spring, Hibernate, JSP, PL/SQL, Struts). Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Java Developer","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Tata Consultancy Services Ltd.","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","4 to 6 Yrs","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Bangalore","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Role:: Java Developer Location:: Bangalore Experience in Java Development with relevant of 4 Yrs. Experience in J2EE (Spring, Hibernate, JSP, PL/SQL, Struts). Experience in Struts, EJB, SQL, PL/SQL "".","https://www.shine.com/jobs/java-developer/tata-consultancy-services-ltd/6590639/","Skills :","Java","Apply","Posted Date 01-Jan-2017"
